customer_id,android_id,trans_time,ipv4,ipv4_flag,ipv4_id
4192159,c6aa42a993be1d7d,2020-06-15 16:15:18,105.59.10.253,1,6257
169420,0fbe56e8d15964e7,2020-06-28 07:40:05,100.67.124.154,1,6258
4385969,f6a6c6939dcf1712,2020-09-09 16:45:38,102.38.142.59,1,6259
4207143,8658674a2d1ad922,2020-06-04 10:10:09,100.73.53.155,1,6260
4251825,604188d055741c25,2020-07-12 10:25:02,105.44.31.118,1,6261
4290047,2c0233e221b579d4,2020-08-05 21:20:09,102.91.155.193,1,6262
4092447,9c43aeae5bbe08c9,2020-07-24 14:45:16,100.98.158.135,1,6263
4283227,30c71835b0f8b50c,2020-07-31 19:25:17,100.64.146.106,1,6264
4308925,b9d20a111e3812b4,2020-08-14 10:55:29,100.114.236.245,1,6265
4240137,e0775ecc3fa8721e,2020-07-04 18:05:10,100.66.44.168,1,6266
459621,ab7830f7fa3d9de5,2020-06-13 10:35:08,100.66.96.159,1,6267
459621,ab7830f7fa3d9de5,2020-06-13 10:35:08,100.64.45.143,1,6268
4318679,1400b41586bdc5a3,2020-08-17 16:25:38,100.76.91.228,1,6269
4335659,626b7d572d76beb3,2020-08-24 05:01:59,105.116.163.85,1,6270
4304799,dc254d08c5a8c30c,2020-08-12 17:00:14,100.118.32.194,1,6271
4271446,9d94b6b9e6ffd255,2020-07-23 20:25:35,100.69.244.192,1,6272
4313011,f95ee4b443a97e54,2020-08-15 10:15:16,100.105.89.173,1,6273
4274127,f51964b125285dd4,2020-07-25 15:55:11,105.18.201.109,1,6274
4274127,f51964b125285dd4,2020-07-25 15:55:11,102.32.28.27,1,6275
4274127,f51964b125285dd4,2020-07-25 15:55:11,102.41.29.37,1,6276
3790677,13ee1816ab7741ec,2020-07-28 14:55:21,100.73.215.89,1,6277
4330010,c38821f42b9336c7,2020-08-20 18:55:18,100.109.106.10,1,6278
4319899,6470fe07e0b7ee97,2020-08-17 14:40:12,100.67.214.169,1,6279
4268411,64fbf011f8788793,2020-07-21 14:51:40,100.64.210.144,1,6280
4268411,64fbf011f8788793,2020-07-21 14:51:40,100.66.30.11,1,6281
4323833,9752098016533e3f,2020-08-19 09:50:29,100.97.240.175,1,6282
4289620,36ff0ce98646fbd8,2020-09-01 08:00:26,102.33.116.92,1,6283
4285473,6e0f8dbfea51c61f,2020-08-11 19:15:13,102.26.55.47,1,6284
4285473,6e0f8dbfea51c61f,2020-08-11 19:15:13,105.56.59.5,1,6285
4041293,ccdff6f6cee9db2,2020-07-18 14:50:18,100.111.250.248,1,6286
4292189,447c51984e0ef5b9,2020-08-07 11:15:09,100.65.39.118,1,6287
4367551,4e913aa6099d05d4,2020-09-03 15:15:14,100.104.182.39,1,6288
4366042,97d97250643b2f1e,2020-09-02 22:05:07,100.109.134.145,1,6289
4398762,843b6949bd477aa3,2020-09-16 10:20:14,102.37.177.49,1,6290
4257216,f6f8b661e9815b40,2020-07-15 12:40:08,105.56.218.247,1,6291
4111276,35cd356606cd5e79,2020-08-14 19:10:11,100.69.26.142,1,6292
4111276,35cd356606cd5e79,2020-08-14 19:10:11,100.77.77.189,1,6293
4379859,9731dab0acf9242d,2020-09-07 14:25:25,102.244.45.16,1,6294
